date,precipitation,temp_max,temp_min,wind,weather,humidity,
2012-01-01,0.0,12.8,5.0,4.7,drizzle,62.4,
2012-01-02,10.9,10.6,2.8,4.5,rain,55,
2012-01-03,0.8,11.7,7.2,2.3,rain,45,
2012-01-04,20.3,12.2,5.6,4.7,rain,34,
2012-01-05,1.3,8.9,2.8,6.1,rain,56,
2012-01-06,2.5,4.4,2.2,2.2,rain,75,
2012-01-07,0.0,7.2,2.8,2.3,rain,54,
2012-01-08,0.0,10.0,2.8,2.0,sun,64,
2012-01-09,4.3,9.4,5.0,3.4,rain,33,
2012-01-10,1.0,6.1,0.6,3.4,rain,24,
2012-01-11,0.0,6.1,-1.1,5.1,sun,55.9,
2012-01-12,0.0,6.1,-1.7,1.9,sun,57.5,
2012-01-13,0.0,5.0,-2.8,1.3,sun,31,
2012-01-14,4.1,4.4,0.6,5.3,snow,23.78,
2012-01-15,5.3,1.1,-3.3,3.2,snow,12.8,
2012-01-16,2.5,1.7,-2.8,5.0,snow,53.88,
2012-01-17,8.1,3.3,0.0,5.6,snow,23,
2012-01-18,19.8,0.0,-2.8,5.0,snow,24,
2012-01-19,15.2,-1.1,-2.8,1.6,snow,29.78,
2012-01-20,13.5,7.2,-1.1,2.3,snow,34.78,
2012-01-21,3.0,8.3,3.3,8.2,rain,36.99,
2012-01-22,6.1,6.7,2.2,4.8,rain,37.76,
2012-01-23,0.0,8.3,1.1,3.6,rain,50.09,
2012-01-24,8.6,10.0,2.2,5.1,rain,51.98,
2012-01-25,8.1,8.9,4.4,5.4,rain,52.33,
2012-01-26,4.8,8.9,1.1,4.8,rain,64.9,
2012-01-27,0.0,6.7,-2.2,1.4,drizzle,64.76,
2012-01-28,0.0,6.7,0.6,2.2,rain,65.09,
2012-01-29,27.7,9.4,3.9,4.5,rain,78.09,
2012-01-30,3.6,8.3,6.1,5.1,rain,87.99,
2012-01-31,1.8,9.4,6.1,3.9,rain,86,
2012-02-01,13.5,8.9,3.3,2.7,rain,84,
2012-02-02,0.0,8.3,1.7,2.6,sun,33,
2012-02-03,0.0,14.4,2.2,5.3,sun,32,
2012-02-04,0.0,15.6,5.0,4.3,sun,54,
2012-02-05,0.0,13.9,1.7,2.9,sun,67,
2012-02-06,0.0,16.1,1.7,5.0,sun,75,
2012-02-07,0.3,15.6,7.8,5.3,rain,76.36,
2012-02-08,2.8,10.0,5.0,2.7,rain,78.05,
2012-02-09,2.5,11.1,7.8,2.4,rain,76.009,
2012-02-10,2.5,12.8,6.7,3.0,rain,82,
2012-02-11,0.8,8.9,5.6,3.4,rain,86,
2012-02-12,1.0,8.3,5.0,1.3,rain,85,
2012-02-13,11.4,7.2,4.4,1.4,rain,87,
2012-02-14,2.5,6.7,1.1,3.1,rain,59,
2012-02-15,0.0,7.2,0.6,1.8,drizzle,83,
2012-02-16,1.8,7.2,3.3,2.1,rain,24,
2012-02-17,17.3,10.0,4.4,3.4,rain,27,
2012-02-18,6.4,6.7,3.9,8.1,rain,28,
2012-02-19,0.0,6.7,2.2,4.7,sun,29,30
2012-02-20,3.0,7.8,1.7,2.9,rain,30,
2012-02-21,0.8,10.0,7.8,7.5,rain,31,
2012-02-22,8.6,10.0,2.8,5.9,rain,32,
2012-02-23,0.0,8.3,2.8,3.9,sun,33,
2012-02-24,11.4,6.7,4.4,3.5,rain,34,
2012-02-25,0.0,7.2,2.8,6.4,rain,35,
2012-02-26,1.3,5.0,-1.1,3.4,snow,36,
2012-02-27,0.0,6.7,-2.2,3.0,sun,37,
2012-02-28,3.6,6.7,-0.6,4.2,snow,38,
2012-02-29,0.8,5.0,1.1,7.0,snow,64,
2012-03-01,0.0,6.1,1.1,3.1,sun,33,
2012-03-02,2.0,6.7,3.9,5.1,rain,24,
2012-03-03,0.0,12.2,6.7,7.0,sun,55.9,
2012-03-04,0.0,10.6,6.7,5.6,rain,57.5,
2012-03-05,6.9,7.8,1.1,6.2,rain,31,
2012-03-06,0.5,6.7,0.0,2.7,snow,23.78,
2012-03-07,0.0,8.9,-1.7,2.7,sun,12.8,
2012-03-08,0.0,15.6,0.6,2.5,sun,13.8,
2012-03-09,3.6,9.4,5.0,2.8,rain,14.8,
2012-03-10,10.4,7.2,6.1,3.4,rain,15.8,
2012-03-11,13.7,6.7,2.8,5.8,rain,16.8,
2012-03-12,19.3,8.3,0.6,6.2,snow,17.8,
2012-03-13,9.4,5.6,0.6,5.3,snow,18.8,
2012-03-14,8.6,7.8,1.1,4.7,rain,19.8,
2012-03-15,23.9,11.1,5.6,5.8,snow,20.8,
2012-03-16,8.4,8.9,3.9,5.1,rain,21.8,
2012-03-17,9.4,10.0,0.6,3.8,snow,22.8,
2012-03-18,3.6,5.0,-0.6,2.7,rain,23.8,
2012-03-19,2.0,7.2,-1.1,3.0,rain,24.8,
2012-03-20,3.6,7.8,2.2,6.4,rain,25.8,
2012-03-21,1.3,8.9,1.1,2.5,rain,26.8,
2012-03-22,4.1,10.0,1.7,2.1,rain,23.78,
2012-03-23,0.0,12.2,0.6,2.8,sun,12.8,
2012-03-24,0.0,15.0,3.3,5.2,sun,13.8,
2012-03-25,0.0,13.3,2.2,2.7,rain,14.8,
2012-03-26,0.0,12.8,6.1,4.3,drizzle,15.8,
2012-03-27,4.8,14.4,6.7,3.8,rain,16.8,
2012-03-28,1.3,10.6,7.2,5.9,rain,17.8,
2012-03-29,27.4,10.0,6.1,4.4,rain,18.8,
2012-03-30,5.6,9.4,5.0,4.7,rain,19.8,
2012-03-31,13.2,10.0,2.8,3.4,rain,20.8,
2012-04-01,1.5,8.9,4.4,6.8,rain,21.8,
2012-04-02,0.0,16.7,4.4,3.1,sun,22.8,
2012-04-03,1.5,11.7,3.3,3.1,rain,23.8,
2012-04-04,0.0,10.6,2.8,2.1,sun,24.8,
2012-04-05,4.6,9.4,2.8,1.8,snow,25.8,
2012-04-06,0.3,11.1,3.3,2.6,rain,26.8,
2012-04-07,0.0,16.1,1.7,4.3,sun,61.99,
2012-04-08,0.0,21.1,7.2,4.1,sun,62.99,
2012-04-09,0.0,20.0,6.1,2.1,sun,63.99,
2012-04-10,0.0,17.8,8.9,3.2,rain,64.99,
2012-04-11,2.3,11.1,7.2,2.6,rain,65.99,
2012-04-12,0.5,13.9,5.6,2.6,rain,66.99,
2012-04-13,0.0,15.0,3.9,4.0,drizzle,67.99,
2012-04-14,0.0,15.6,3.3,3.0,sun,68.99,
2012-04-15,0.0,16.1,7.2,2.9,rain,12.8,
2012-04-16,8.1,13.3,6.7,5.8,rain,54.89,
2012-04-17,1.8,10.0,4.4,2.0,rain,78.98,
2012-04-18,1.8,13.3,7.2,3.9,rain,78.98,
2012-04-19,10.9,13.9,5.0,2.6,rain,67.34,
2012-04-20,6.6,13.3,6.7,2.7,rain,34.78,
2012-04-21,0.0,20.0,4.4,2.3,sun,56.98,
2012-04-22,0.0,23.3,8.3,2.6,rain,45.09,
2012-04-23,0.0,21.7,8.9,3.5,sun,20.8,
2012-04-24,4.3,13.9,10.0,2.8,rain,21.8,
2012-04-25,10.7,16.7,8.9,2.6,rain,22.8,
2012-04-26,3.8,13.9,6.7,5.2,rain,23.8,
2012-04-27,0.8,13.3,6.1,4.8,rain,24.8,
2012-04-28,0.0,16.1,8.3,2.5,drizzle,25.8,
2012-04-29,4.3,15.6,8.9,1.6,rain,26.8,
2012-04-30,4.3,12.8,7.2,8.0,rain,61.99,
2012-05-01,0.5,11.7,6.1,6.4,rain,62.99,
2012-05-02,0.5,13.3,5.6,2.5,rain,63.99,
2012-05-03,18.5,11.1,7.2,3.4,rain,64.99,
2012-05-04,1.8,12.2,6.1,4.6,rain,65.99,
2012-05-05,0.0,13.3,5.0,2.3,sun,66.99,
2012-05-06,0.0,17.8,5.0,2.4,sun,67.99,
2012-05-07,0.0,23.9,6.1,2.2,sun,68.99,
2012-05-08,0.0,18.3,9.4,3.0,sun,12.8,
2012-05-09,0.0,13.3,6.7,3.9,rain,54.89,
2012-05-10,0.0,14.4,3.9,3.0,sun,78.98,
2012-05-11,0.0,18.3,4.4,4.3,sun,78.98,
2012-05-12,0.0,24.4,6.7,3.4,sun,67.34,
2012-05-13,0.0,25.6,9.4,4.2,sun,34.78,
2012-05-14,0.0,26.7,12.8,3.8,sun,56.98,
2012-05-15,0.0,24.4,9.4,4.1,drizzle,45.09,
2012-05-16,0.0,19.4,9.4,3.5,sun,75,
2012-05-17,0.0,17.8,6.7,2.9,rain,54,
2012-05-18,0.0,15.6,7.8,3.1,rain,64,
2012-05-19,0.0,19.4,7.2,1.5,sun,33,
2012-05-20,6.4,14.4,11.7,1.3,rain,24,
2012-05-21,14.0,16.7,10.0,4.0,rain,55.9,
2012-05-22,6.1,12.8,8.9,4.8,rain,57.5,
2012-05-23,0.3,14.4,8.9,6.3,rain,31,
2012-05-24,0.0,17.2,8.9,3.3,rain,23.78,
2012-05-25,0.0,22.2,8.9,3.1,rain,12.8,
2012-05-26,0.0,22.2,8.9,3.6,sun,53.88,
2012-05-27,0.0,17.2,11.7,3.7,sun,23,
2012-05-28,0.0,16.7,10.0,3.4,rain,24,
2012-05-29,0.0,16.1,7.8,1.8,sun,29.78,
2012-05-30,0.3,18.9,11.1,1.5,rain,34.78,
2012-05-31,3.8,17.8,12.2,2.7,rain,36.99,
2012-06-01,6.6,20.0,12.8,3.7,rain,37.76,
2012-06-02,0.3,18.9,10.6,3.7,rain,50.09,
2012-06-03,0.0,17.2,9.4,2.9,sun,51.98,
2012-06-04,1.3,12.8,8.9,3.1,rain,52.33,
2012-06-05,16.0,13.3,8.3,3.3,rain,64.9,
2012-06-06,0.0,16.1,6.1,3.4,sun,64.76,
2012-06-07,16.5,16.1,8.9,3.5,rain,65.09,
2012-06-08,1.5,15.0,8.3,3.0,rain,78.09,
2012-06-09,0.0,17.2,8.3,4.7,rain,87.99,
2012-06-10,0.0,18.9,10.0,2.9,sun,86,
2012-06-11,0.0,23.3,10.0,1.8,rain,84,
2012-06-12,0.8,18.3,12.8,3.9,rain,33,
2012-06-13,0.0,16.1,11.1,4.3,sun,32,
2012-06-14,0.0,17.2,10.0,2.7,sun,54,
2012-06-15,0.0,22.2,9.4,1.7,sun,67,
2012-06-16,0.0,21.1,15.0,4.1,rain,75,
2012-06-17,0.0,18.9,11.7,6.4,sun,76.36,
2012-06-18,3.0,17.2,10.0,3.8,rain,78.05,
2012-06-19,1.0,19.4,10.0,3.0,rain,76.009,
2012-06-20,0.0,24.4,10.0,3.0,sun,82,
2012-06-21,0.0,23.9,11.7,2.1,sun,86,
2012-06-22,15.7,13.9,11.7,1.9,rain,85,
2012-06-23,8.6,15.6,9.4,2.5,rain,87,
2012-06-24,0.0,19.4,9.4,2.0,drizzle,59,
2012-06-25,0.5,19.4,11.1,3.1,rain,83,
2012-06-26,0.0,18.3,10.6,3.4,rain,24,
2012-06-27,0.0,22.8,8.9,1.8,sun,75,
2012-06-28,0.0,22.2,11.7,2.5,rain,54,
2012-06-29,0.3,21.7,15.0,1.9,rain,64,
2012-06-30,3.0,20.0,13.3,2.4,rain,33,
2012-07-01,0.0,20.0,12.2,2.3,rain,24,
2012-07-02,2.0,18.9,11.7,2.1,rain,55.9,
2012-07-03,5.8,18.3,10.6,6.0,rain,57.5,
2012-07-04,0.0,20.6,9.4,3.8,sun,31,
2012-07-05,0.0,24.4,10.6,3.1,drizzle,23.78,
2012-07-06,0.0,25.0,11.1,2.1,sun,12.8,
2012-07-07,0.0,26.7,12.8,3.8,sun,53.88,
2012-07-08,0.0,28.3,14.4,2.8,rain,23,
2012-07-09,1.5,25.0,12.8,2.0,rain,24,
2012-07-10,0.0,23.9,11.1,2.3,drizzle,29.78,
2012-07-11,0.0,27.8,13.3,2.9,fog,34.78,
2012-07-12,0.0,25.6,13.3,2.7,drizzle,36.99,
2012-07-13,0.5,23.3,13.9,2.2,rain,37.76,
2012-07-14,0.0,25.0,15.0,2.2,rain,50.09,
2012-07-15,0.0,18.9,13.3,3.8,rain,51.98,
2012-07-16,0.3,26.1,13.3,2.5,rain,52.33,
2012-07-17,0.0,21.7,15.0,2.6,sun,64.9,
2012-07-18,0.0,21.1,14.4,2.9,sun,64.76,
2012-07-19,0.0,25.0,14.4,2.2,sun,65.09,
2012-07-20,15.2,19.4,13.9,4.0,rain,78.09,
2012-07-21,0.0,23.9,13.9,2.3,sun,87.99,
2012-07-22,1.0,20.6,12.2,3.9,rain,86,
2012-07-23,0.0,18.9,11.1,3.3,rain,84,
2012-07-24,0.0,23.3,12.2,4.3,sun,33,
2012-07-25,0.0,26.7,12.8,2.6,sun,32,
2012-07-26,0.0,25.6,12.8,2.2,drizzle,54,
2012-07-27,0.0,18.9,13.9,2.8,drizzle,67,
2012-07-28,0.0,22.2,13.3,1.7,drizzle,75,
2012-07-29,0.0,22.8,15.0,2.0,sun,76.36,
2012-07-30,0.0,19.4,13.3,3.0,sun,78.05,
2012-07-31,0.0,22.8,13.9,2.8,sun,76.009,
2012-08-01,0.0,23.9,13.3,2.2,drizzle,82,
2012-08-02,0.0,23.3,12.2,2.5,sun,86,
2012-08-03,0.0,27.2,12.8,3.9,sun,85,
2012-08-04,0.0,33.9,16.7,3.7,sun,87,
2012-08-05,0.0,33.9,17.8,1.9,sun,59,
2012-08-06,0.0,28.3,15.6,2.5,rain,83,
2012-08-07,0.0,21.1,15.0,2.6,drizzle,24,
2012-08-08,0.0,22.2,15.0,3.1,sun,27,
2012-08-09,0.0,24.4,14.4,3.8,drizzle,28,
2012-08-10,0.0,25.6,12.2,2.3,sun,29,
2012-08-11,0.0,28.3,13.3,2.5,sun,30,
2012-08-12,0.0,30.6,15.0,3.0,sun,31,
2012-08-13,0.0,30.6,15.0,2.8,sun,32,
2012-08-14,0.0,28.9,13.9,2.8,sun,33,
2012-08-15,0.0,31.1,16.7,4.7,sun,34,
2012-08-16,0.0,34.4,18.3,2.8,sun,35,
2012-08-17,0.0,32.8,16.1,1.8,sun,36,
2012-08-18,0.0,21.7,14.4,3.0,drizzle,37,
2012-08-19,0.0,23.3,15.0,2.7,drizzle,38,
2012-08-20,0.0,25.6,15.0,1.9,sun,64,
2012-08-21,0.0,23.3,13.3,3.0,rain,33,
2012-08-22,0.0,22.2,13.3,2.3,sun,24,
2012-08-23,0.0,21.1,13.9,3.8,sun,55.9,
2012-08-24,0.0,22.2,10.0,3.3,sun,82,
2012-08-25,0.0,26.1,11.7,3.2,sun,86,
2012-08-26,0.0,21.1,12.2,3.4,sun,85,
2012-08-27,0.0,23.9,13.3,1.8,sun,87,
2012-08-28,0.0,22.8,12.2,3.2,sun,59,
2012-08-29,0.0,22.8,13.3,2.4,sun,83,
2012-08-30,0.0,22.8,12.8,1.9,sun,24,
2012-08-31,0.0,22.2,10.6,2.9,sun,27,
2012-09-01,0.0,21.7,10.6,2.1,sun,28,
2012-09-02,0.0,21.1,10.0,2.0,sun,29,
2012-09-03,0.0,22.8,12.8,3.3,sun,30,
2012-09-04,0.0,24.4,11.1,3.1,sun,31,
2012-09-05,0.0,26.1,11.7,2.6,sun,32,
2012-09-06,0.0,28.3,14.4,4.2,sun,33,
2012-09-07,0.0,32.2,13.3,3.1,sun,34,
2012-09-08,0.0,25.0,13.3,3.0,sun,35,
2012-09-09,0.3,18.9,13.9,5.0,rain,36,
2012-09-10,0.3,20.0,11.7,3.9,rain,37,
2012-09-11,0.0,20.0,8.9,4.2,sun,38,
2012-09-12,0.0,22.2,10.0,5.6,sun,64,
2012-09-13,0.0,27.8,11.7,3.6,sun,33,
2012-09-14,0.0,26.1,11.1,1.5,sun,24,
2012-09-15,0.0,22.2,11.1,1.9,sun,55.9,
2012-09-16,0.0,24.4,9.4,2.3,sun,57.5,
2012-09-17,0.0,27.8,11.7,2.2,fog,31,
2012-09-18,0.0,27.8,11.7,1.4,sun,23.78,
2012-09-19,0.0,23.9,11.7,1.9,drizzle,12.8,
2012-09-20,0.0,19.4,10.0,2.5,drizzle,13.8,
2012-09-21,0.0,16.1,12.8,2.1,drizzle,14.8,
2012-09-22,0.3,19.4,11.7,1.1,rain,15.8,
2012-09-23,0.0,19.4,10.0,1.4,fog,16.8,
2012-09-24,0.0,21.1,10.0,1.8,fog,17.8,
2012-09-25,0.0,19.4,11.1,1.7,sun,18.8,
2012-09-26,0.0,19.4,9.4,1.7,drizzle,19.8,
2012-09-27,0.0,22.8,10.0,1.7,drizzle,20.8,
2012-09-28,0.0,25.0,12.2,1.1,rain,21.8,
2012-09-29,0.0,20.6,12.2,4.3,sun,22.8,
2012-09-30,0.0,21.1,7.8,3.1,sun,23.8,
2012-10-01,0.0,23.3,8.9,3.0,sun,24.8,
2012-10-02,0.0,17.8,10.0,4.1,sun,25.8,
2012-10-03,0.0,18.9,7.8,7.3,sun,26.8,
2012-10-04,0.0,18.9,8.3,6.5,sun,23.78,
2012-10-05,0.0,21.7,8.9,5.7,sun,12.8,
2012-10-06,0.0,23.9,7.8,5.1,sun,13.8,
2012-10-07,0.0,23.9,7.8,1.3,sun,14.8,
2012-10-08,0.0,21.1,7.8,1.9,sun,15.8,
2012-10-09,0.0,16.1,8.9,1.6,drizzle,16.8,
2012-10-10,0.0,12.2,8.3,1.4,drizzle,17.8,
2012-10-11,0.0,13.9,7.2,1.3,drizzle,18.8,
2012-10-12,2.0,13.9,8.9,4.6,rain,19.8,
2012-10-13,4.8,15.6,12.2,3.9,rain,20.8,
2012-10-14,16.5,17.8,13.3,3.4,rain,21.8,
2012-10-15,7.9,17.2,11.1,4.6,rain,22.8,
2012-10-16,0.0,16.1,8.3,5.5,sun,23.8,
2012-10-17,0.0,14.4,6.1,1.6,sun,24.8,
2012-10-18,20.8,17.8,6.7,2.0,rain,25.8,
2012-10-19,4.8,15.0,9.4,5.3,rain,26.8,
2012-10-20,0.5,11.1,6.1,5.7,rain,61.99,
2012-10-21,6.4,11.7,4.4,2.7,rain,62.99,
2012-10-22,8.9,7.8,3.3,2.6,rain,63.99,
2012-10-23,0.0,11.1,5.6,3.0,rain,64.99,
2012-10-24,7.1,11.7,6.1,2.1,rain,65.99,
2012-10-25,0.0,11.7,6.7,1.5,sun,66.99,
2012-10-26,1.5,11.1,7.2,2.5,rain,67.99,
2012-10-27,23.1,14.4,9.4,5.1,rain,68.99,
2012-10-28,6.1,14.4,10.0,3.8,rain,12.8,
2012-10-29,10.9,15.6,10.0,4.9,rain,54.89,
2012-10-30,34.5,15.0,12.2,2.8,rain,78.98,
2012-10-31,14.5,15.6,11.1,2.7,rain,78.98,
2012-11-01,9.7,15.0,10.6,3.0,rain,67.34,
2012-11-02,5.6,15.0,10.6,1.0,rain,34.78,
2012-11-03,0.5,15.6,11.1,3.6,rain,56.98,
2012-11-04,8.1,17.8,12.8,3.8,rain,45.09,
2012-11-05,0.8,15.0,7.8,4.0,rain,20.8,
2012-11-06,0.3,12.8,6.7,3.5,rain,21.8,
2012-11-07,0.0,12.2,3.9,3.4,rain,22.8,
2012-11-08,0.0,10.0,1.1,3.4,rain,23.8,
2012-11-09,0.0,8.9,1.1,2.0,rain,24.8,
2012-11-10,0.0,7.8,-0.6,2.2,sun,25.8,
2012-11-11,15.2,8.9,1.1,3.0,rain,26.8,
2012-11-12,3.6,12.8,6.1,3.0,rain,61.99,
2012-11-13,5.3,11.1,7.8,2.5,rain,62.99,
2012-11-14,0.8,11.1,5.0,2.6,rain,63.99,
2012-11-15,0.0,9.4,2.8,2.4,drizzle,64.99,
2012-11-16,5.6,9.4,2.2,1.6,rain,65.99,
2012-11-17,6.1,12.2,6.1,5.3,rain,66.99,
2012-11-18,7.9,10.0,6.1,4.9,rain,67.99,
2012-11-19,54.1,13.3,8.3,6.0,rain,68.99,
2012-11-20,3.8,11.1,7.2,4.2,rain,12.8,
2012-11-21,11.2,8.3,3.9,5.5,rain,54.89,
2012-11-22,0.0,8.9,2.8,1.5,rain,78.98,
2012-11-23,32.0,9.4,6.1,2.4,rain,78.98,
2012-11-24,0.0,8.9,3.9,1.2,rain,67.34,
2012-11-25,0.0,8.3,1.1,3.6,drizzle,34.78,
2012-11-26,0.0,9.4,1.7,3.8,fog,56.98,
2012-11-27,0.0,10.0,1.7,1.5,sun,45.09,
2012-11-28,2.8,9.4,2.2,2.9,rain,75,
2012-11-29,1.5,12.8,7.8,4.2,rain,54,
2012-11-30,35.6,15.0,7.8,4.6,rain,64,
2012-12-01,4.1,13.3,8.3,5.5,rain,33,
2012-12-02,19.6,8.3,7.2,6.2,rain,24,
2012-12-03,13.0,9.4,7.2,4.4,rain,55.9,
2012-12-04,14.2,11.7,7.2,6.2,rain,57.5,
2012-12-05,1.5,8.9,4.4,5.0,rain,31,
2012-12-06,1.5,7.2,6.1,5.1,rain,23.78,
2012-12-07,1.0,7.8,3.3,4.6,rain,12.8,
2012-12-08,0.0,6.7,3.3,2.0,sun,53.88,
2012-12-09,1.5,6.7,2.8,2.1,rain,23,
2012-12-10,0.5,7.2,5.6,1.8,rain,24,
2012-12-11,3.0,7.8,5.6,4.5,rain,29.78,
2012-12-12,8.1,6.7,4.4,2.0,rain,34.78,
2012-12-13,2.3,7.2,3.3,2.8,rain,36.99,
2012-12-14,7.9,6.1,1.1,1.7,rain,37.76,
2012-12-15,5.3,4.4,0.6,5.1,snow,50.09,
2012-12-16,22.6,6.7,3.3,5.5,snow,51.98,
2012-12-17,2.0,8.3,1.7,9.5,rain,52.33,
2012-12-18,3.3,3.9,0.6,5.3,snow,64.9,
2012-12-19,13.7,8.3,1.7,5.8,snow,64.76,
2012-12-20,13.2,7.2,0.6,3.7,rain,65.09,
2012-12-21,1.8,8.3,-1.7,1.7,rain,78.09,
2012-12-22,3.3,8.3,3.9,3.5,rain,87.99,
2012-12-23,6.6,7.2,3.3,2.5,rain,86,
2012-12-24,0.3,5.6,2.8,2.8,rain,84,
2012-12-25,13.5,5.6,2.8,4.2,snow,33,
2012-12-26,4.6,6.7,3.3,4.9,rain,32,
2012-12-27,4.1,7.8,3.3,3.2,rain,54,
